                Monatswerte der Station 10616 Hahn                                              
 STAT JJJJMM   QN    TNN    TNM    TMM    TXM    TXX    SOS    NMM    RSS    RSX    FMM    FXX
----- ------   -- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
10616;200612;10;-6.0;0.9;3.2;5.7;12.2;53.4;6.5;54.1;14.5;3.0;24.6
10616;200611;10;-2.2;3.5;6.3;9.0;16.5;57.8;6.5;50.4;7.7;3.2;18.9
10616;200610;10;3.7;8.6;11.6;14.8;20.6;125.9;5.8;73.9;29.6;2.9;21.0
10616;200609;10;7.2;12.5;16.3;20.4;25.2;200.4;4.7;12.2;4.7;2.5;17.7
10616;200608;10;7.3;10.8;13.8;18.0;24.0;118.4;6.5;141.0;24.0;2.5;15.7
10616;200607;10;12.1;16.6;21.5;26.8;32.3;326.5;3.5;52.0;30.5;2.4;16.4
10616;200606;10;4.2;11.3;16.0;20.6;28.6;276.6;4.3;57.6;40.8;2.3;16.9
10616;200605;10;-0.7;8.0;12.2;16.5;21.7;185.5;5.9;95.4;17.0;3.0;20.5
10616;200604;10;-2.1;3.7;7.3;11.2;19.2;157.8;5.8;51.4;8.1;2.5;16.5
10616;200603;10;-8.8;-1.7;1.3;4.8;14.9;121.4;6.0;82.6;18.1;3.0;19.5
10616;200602;10;-10.1;-2.7;-0.6;1.5;6.7;40.4;6.9;38.7;9.6;2.9;18.1
10616;200601;10;-10.8;-5.1;-2.5;-0.1;5.2;87.4;5.8;19.4;7.2;3.0;16.9
10616;200512;10;-7.3;-2.2;-0.2;1.3;6.4;39.0;6.9;55.6;10.3;2.8;19.7
10616;200511;10;-4.3;1.3;3.6;5.9;16.5;57.8;6.4;33.1;9.3;2.6;18.2
10616;200510;10;1.6;7.5;10.8;14.8;20.0;159.2;4.8;44.0;13.8;2.9;19.7
10616;200509;10;3.5;10.9;14.9;19.3;27.2;203.3;4.1;41.7;10.9;2.6;14.6
10616;200508;10;7.6;11.0;14.8;19.2;26.9;177.6;5.1;56.2;28.3;2.8;16.3
10616;200507;10;8.2;12.9;17.0;21.8;29.4;218.3;5.3;53.2;8.9;2.7;20.9
10616;200506;10;3.5;11.2;16.1;20.9;29.7;257.2;4.8;46.9;13.7;2.4;19.7
10616;200505;10;0.8;7.1;11.7;16.1;28.6;210.4;5.4;86.6;17.3;2.6;19.6
10616;200504;10;-0.3;4.7;8.6;12.7;22.0;169.7;5.4;81.4;17.3;2.5;18.7
10616;200503;10;-11.9;1.1;4.1;7.2;17.1;125.2;6.2;40.0;6.0;2.7;19.1
10616;200502;10;-14.0;-4.2;-2.0;0.2;9.3;80.8;6.1;73.4;14.4;2.9;26.6
10616;200501;10;-9.2;-1.0;1.0;3.1;11.4;57.2;6.5;63.1;12.2;3.6;27.8
10616;200412;10;-8.7;-3.0;-0.7;1.5;7.4;55.5;6.2;37.9;8.3;2.7;20.3
10616;200411;10;-4.3;1.3;3.2;5.1;11.3;37.6;6.7;56.4;11.6;2.8;26.5
10616;200410;10;0.6;6.4;9.5;12.5;21.3;89.9;6.2;49.3;8.8;3.0;21.6
10616;200409;10;6.0;9.9;13.7;17.6;24.8;200.0;4.8;43.5;10.3;2.9;20.2
10616;200408;10;8.0;13.4;17.1;21.6;28.1;190.8;5.5;161.7;35.8;2.8;18.2
10616;200407;10;7.8;11.8;15.8;20.1;27.0;209.9;5.4;98.7;20.6;2.5;22.1
10616;200406;10;5.6;10.3;14.5;18.8;28.0;227.6;5.4;46.7;9.5;2.7;21.1
10616;200405;10;1.6;6.7;10.5;14.5;21.8;222.9;5.0;77.8;35.2;2.5;14.4
10616;200404;10;-0.6;4.7;8.5;12.9;21.2;182.6;5.4;53.5;13.2;2.9;17.8
10616;200403;10;-7.3;0.1;3.4;7.2;21.0;144.7;5.2;32.5;9.9;3.0;23.3
10616;200402;10;-7.9;-0.3;1.8;4.0;13.4;65.5;6.3;38.6;9.8;3.2;26.7
10616;200401;10;-10.4;-2.5;-0.3;1.9;10.0;26.8;6.9;91.8;17.2;3.4;26.5
10616;200312;10;-6.3;-1.1;1.2;3.6;8.9;59.8;5.9;43.3;13.6;3.1;24.6
10616;200311;10;-1.2;3.0;5.8;8.4;15.2;75.2;6.2;50.4;15.6;3.0;19.4
10616;200310;10;-5.8;2.5;5.5;8.7;19.3;112.1;5.7;55.7;10.8;3.0;19.7
10616;200309;10;3.6;9.3;13.8;18.8;27.7;241.4;4.1;54.4;24.9;2.4;15.0
10616;200308;10;8.1;15.3;20.8;26.6;35.3;305.4;3.4;35.0;8.8;2.3;15.7
10616;200307;10;10.9;13.6;18.0;23.0;32.2;254.3;4.6;38.6;7.5;2.5;20.4
10616;200306;10;8.1;13.2;18.4;23.8;28.9;294.4;4.5;60.8;18.7;2.4;21.4
10616;200305;10;3.1;8.6;12.6;17.0;25.0;205.8;5.7;88.3;28.3;2.7;17.6
10616;200304;10;-5.9;3.0;7.9;12.6;22.0;227.9;4.6;32.8;7.2;3.0;20.2
10616;200303;10;-3.2;2.3;6.3;10.9;18.2;196.2;4.3;30.4;8.3;2.7;18.3
10616;200302;10;-10.7;-4.6;-1.4;1.8;12.4;152.4;4.1;18.4;7.9;3.0;17.0
10616;200301;10;-15.5;-3.6;-1.1;1.3;10.4;55.6;6.3;111.8;43.6;3.4;27.3
10616;200212;10;-10.4;-0.1;1.7;3.9;10.9;38.4;6.8;76.0;17.6;3.2;19.4
10616;200211;10;-0.2;4.0;6.1;8.3;12.6;31.8;6.9;109.7;28.0;2.8;19.5
10616;200210;10;-0.2;5.1;8.1;11.1;17.8;72.4;6.5;110.3;20.1;3.1;32.1
10616;200209;10;2.5;8.3;12.0;16.0;21.4;194.3;4.9;28.9;8.8;2.5;15.2
